Location ID,Name,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks
Dropped pin,,State-people,Garden,No,Semi-demarcated,Semi-clean,,,,,1.3760381,103.8933954,"State-people
Community garden
Relatively organised
Seating provided in the form of plastic stools and concrete Low walls
Not very clean
No proper demarcation
No fence or locks
No camera
Water point present. 
Most of the garden set up by DIY products including gala poles"
Dropped pin,,State-provided,Garden,No,Demarcated,Semi-clean,,,,,1.3758376,103.8935694,"State provided
Community garden
Demarcated
Locked
Large area with variety of plants
Relatively organised but a little overgrown(could be due to covid)"
Dropped pin,,People-generated,Garden,No,Not demarcated,Semi-clean,,,,,1.3753225,103.8937894,"People-generated gardens
Small
Relatively disorganized
No cameras
No demarcation 
Has ornaments 
Water source for aquatic plants
Wind vane
Relatively clean"
Dropped pin,,People-generated,Garden,No,Not demarcated,Clean,,,,,1.3749156,103.8931534,"People generated
Small gardens potted plants
No demarcation 
No seating
No cameras
Low level block 
Relatively organised
Clean "
Dropped pin,,State-provided,Resident's Corner,Yes,Semi-demarcated,Clean,,,,,1.37475,103.8942001,"State-provided
A certain extent of people generated
Large Residents corner
Demarcated by Low Walls and rails, however, some seating exists outside the space
2 four seater tables
1 three seater table
2 two seater tables
2 four seater chess tables
14 red chairs
Tv shuttered
Toilet provided
Vending machine nearby
Camera present
Near residents committee
One metal bench outside space
One wooden comforter chair outside space"
Dropped pin,,People-generated,Garden,No,Not demarcated,Clean,,,,,1.3741296,103.8933589,"People generated 
Small garden
Disorganized
No camera
Clean 
No demarcation "
Dropped pin,,People-generated,Garden,No,Not demarcated,Clean,,,,,1.3738591,103.8944264,"Small garden 
People generated
Organised and clean
Has a self path cutting through 
No cameras
No demarcation "
Dropped pin,,People-generated,Garden,No,Semi-demarcated,Semi-clean,,,,,1.3740964,103.8946162,"People generated gardens
Sparsely distributed 
Mostly disorganized 
Semi demarcated
Not very clean
No cameras"
Dropped pin,,People-generated,Garden,No,Not demarcated,Clean,,,,,1.3745207,103.8961541,"Large garden
People generated
Has a pond
Framing for creeper growth
Two chairs
Relatively organised
Clean
No demarcation
No camera"
Dropped pin,,People-generated,Garden,No,Not demarcated,Clean,,,,,1.3749105,103.8963884,"Small garden 
People generated
No cameras
No seating
Relatively disorganized
Clean 
No demarcation "
Block 415 HDB Hougang,,State-provided,Resident's Corner,Yes,Demarcated,Clean,,,,,1.375247,103.896379,"Residents corner
Demarcated by Low Walls
Relatively empty
10 single blue seats fixed
Tv shuttered
Toilet provided
Sink provided 
Camera present
Clean"
Dropped pin,,People-generated,Garden,No,Not demarcated,Clean,,,,,1.3747138,103.8951674,"People generated
No demarcation
No seating
No camera 
Relatively disorganized
Clean
Found near main road and bus stop "
Dropped pin,,People-generated,Garden,No,Not demarcated,Semi-clean,,,,,1.3745371,103.8952582,"Relatively small garden
People generated
No cameras
Disorganized
Relatively clean "
Dropped pin,,People-generated,Garden,No,Semi-demarcated,Clean,,,,,1.3738909,103.8957021,"People generated
Has a fence for demarcation
Advanced decorated with a mini pond for aquatics
Has a DIY arch for creepers
2 wooden benches seating 3 each
A single chair
Mini coffee table 
Ornaments present (some religious)
Large variety of plants, clean 
Bird cages
No cameras
Should be the nearby residents (Low block) "
Dropped pin,,People-generated,Garden,No,Not demarcated,Clean,,,,,1.3736415,103.8955466,"Garden stretch
People generated
Disorganized but clean 
No demarcation 
No seating"
Block 404 HDB Hougang,,People-generated,Garden,No,Semi-demarcated,Clean,,,,,1.373826,103.895868,"People-generated garden
Fences to demarcated 
No locks
No camera
4 stools movable
1 wooden bench seats 3
Large green dustbin found inside
Ornaments present
Clothes rack present
Relatively disorganized
Clean
Could be the direct resident’s space "
Dropped pin,,State-people,Void Deck,Yes,Not demarcated,Clean,,,,,1.3737642,103.8963204,"State-people
Different forms furniture 
Fixed 6-seater table
Foldable chair (wooden) 
One sitting chair
Stack of plastic stools 
Metal cabinet
Some belongings kept under cloths
Multiple CNY ornaments (or at least Chinese related)
3 clocks
Cameras present
Near lift landings and bicycle racks
Installation of fans
No demarcation of space (uses furniture) 
Clean "
Dropped pin,,People-generated,Garden,No,Not demarcated,Semi-clean,,,,,1.3732212,103.8965048,"People generated garden (small)
Disorganized 
Relatively clean
No cameras 
No proper demarcation (just some bricks)
Not as visible as others, as topography blocks most of angles to see it
Plants are young which could mean it’s a new space
"
Dropped pin,,People-generated,Garden,No,Not demarcated,Clean,,,,,1.3723541,103.8965222,"People-generated stretch 
Garden outside first floor homes 
No seating, however the standard HDB Low Walls could be used as seating 
No actual demarcation
Clean, though a little disorganized 
No camera"
Block 466,,State-provided,Void Deck,No,Demarcated,Clean,,,,,1.372732,103.897132,"State provided space
Demarcated by Low Walls
Near mailbox, lift landing and drop off
Painted concrete tables. 
1 six seater table
1 four seater chess table 
1 six seater rectangle table
A seater platform around a center pillar 
1 three seater bench
No camera, but open area
Clean"
