Location ID,Name,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks
Dropped pin,,State-people,Void Deck,Yes,Demarcated,Semi-clean,,,,,1.3774475,103.8936754,"State-people
Fixed 6 seater table
13 plastics chairs
1 large Lounge sofa
2 tables movable
Metal cabinet with table, storage 
Multiple fans provided
Camera present
Ornaments and decoration present 
Clock present
Near makeshift potted garden
Near Kopitiam 
Pails present
Residents were found using the space during phase 1
No demarcation of space
Relatively clean 
Disorganized"
Dropped pin,,State-provided,Resident's Corner,Yes,Demarcated,Not clean,,,,,1.3772035,103.8933981,"Residents corner
State provided
4 two seater benches fixed
2 six seater tables fixed
Camera present
Large open area in between (feels empty)
Space demarcated by Low Walls 
Litter present 
"
439 Hougang Ave 6,,People-generated,Void Deck,No,Not demarcated,Clean,,,,,1.37863,103.893073,"People generated
Two fixed benches
Foldable table
1 plastic chair
Plastic drawers and a locked storage compartment 
Found near a non-demarcated garden (people-generated)
Non demarcated
Clean
Relatively organised 
N"
Dropped pin,,People-generated,Garden,No,Not demarcated,Clean,,,,,1.3787691,103.8931105,"People generated?
Relatively organzied in rows
Mostly potted plants
Non demarcated
No cameras
Has materials for watering on site 
No seating "
Dropped pin,,State-people,Garden,No,Demarcated,Clean,,,,,1.3785754,103.8941666,"State-people
Very large community garden
Serves entire precinct
Organised
Limited entry
Demarcated 
Clean 
Large variety of plants
Has seating, 3 benches 
Regular participation required along with internal meetings
No flowers (requirement)"
Dropped pin,,People-generated,Garden,Yes,Semi-demarcated,Clean,,,,,1.3777495,103.8955379,"People-generated
Relatively disorganized but clean
No demarcation (potted plants are used instead)
1 metal bench and 2 stools for seating
Camera present though it looks like it’s a resident’s 
Ornaments present
No water source
Resident built stone path within garden "
Dropped pin,,People-generated,Garden,No,Not demarcated,Clean,,,,,1.3776493,103.8953139,"People
Generated
Perimeter gardening
Relatively organised and clean
No demarcation
No cameras
No seating "
Dropped pin,,State-provided,Resident's Corner,No,Demarcated,Clean,,,,,1.3771143,103.8956917,"State provided
Residents corner
Fixed seating 
4 chess tables l, 3 four seater, 1 three seater
3 side wall benches seating two each 
One random mobile plastic chair
Demarcated by Low Walls 
No camera "
Dropped pin,,State-people,Resident's Corner,Yes,Demarcated,Clean,,,,,1.3762248,103.8940502,"State-people
Residents corner 
Tv provided 
Plastic chairs stacked 
Fixed tables present 
Need to revisit
Demarcated by Low Walls
Have cameras
People still sitting inside during phase 1"
Dropped pin,,People-generated,Void Deck,No,Not demarcated,Clean,,,,,1.3765646,103.8938011,"People-generated
Different types of furniture present 
3 stone tables movable
3 stone benches movable
3 stone stools movable 
Stacks of plastics chairs close to 20
Pails and bottles present used to water plants nearby
Ornaments (Chinese) present
Plants decorated as well 
Near bus stop and lift landing 
Smoking jar also present 
State provided exercise equipment nearby"
