Location ID,Name,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks,URL
AK-G-36,,State-people,Garden,No,Demarcated,Clean,None,0,None,None,1.3784902,103.8381081,"Community garden
State-people
Demarcated by fence
No seating
Relatively organized
No cameras ","https://www.google.com/maps/search/1.3784902,103.8381081"
AK-G-37,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3793828,103.8375361,"Garden
Illegal
People generated
No demarcation 
No cameras
Has a notice for removal ","https://www.google.com/maps/search/1.3793828,103.8375361"
AK-O-03,,People-generated,Outdoor,No,Demarcated,Clean,Mixed,6,None,None,1.3793228,103.8395239,"Outdoor
People generated
Additional chairs provided within space a

Dust in as wel
Near a small garden
Demarcated by Low fence
No cameras","https://www.google.com/maps/search/1.3793228,103.8395239"
AK-V-13,,State-provided,Void Deck,No,Demarcated,Clean,Fixed,24,None,None,1.3795461,103.8368588,"Interaction corner
State-provided
Demarcated by Low Walls and signage
4 six-seater chess tables 
Toilet present
No cameras","https://www.google.com/maps/search/1.3795461,103.8368588"
