Title,Note,URL,Comment
Dropped pin,"No picture
Void deck
State-people
Near mailbox
No demarcation
2 metal benches provided by state
3 additional chairs that are chained up and movable present
No cameras ","https://www.google.com/maps/search/1.3278586,103.9317192",
Dropped pin,"Senior citizens corner
State-people
Semi demarcated by Low Walls, signage
2 fixed tables with one still each and wall benches 
1 fixed table with L wall bench and a movable stone bench
3 movable stone benches (capacity 3)
1 fixed table with no seating
4 movable wooden tables 
Tv in cabinet
1 locked metal cabinet
2 vending machines 
2 cameras present
Additional lighting provided through false ceiling 
Chinese decorations present
Floral decoration present","https://www.google.com/maps/search/1.3297423,103.9336447",
Dropped pin,"Community Garden
State-people
Demarcated by fence
Seats present at made shift tent
Relatively organized
Locked 
No cameras","https://www.google.com/maps/search/1.3293984,103.9332718",
Dropped pin,"Open space
People-generated
Chairs taken from Coffeeshop.
Seems like tables can be set up there too. 
Sheltered
Demarcated as a pathway not a central sitting area
No cameras ","https://www.google.com/maps/search/1.3292107,103.9298272",
Dropped pin,"Community Garden
State-people
Demarcated by fence
No visible path though
Relatively organized 
No cameras","https://www.google.com/maps/search/1.3269016,103.9270676",
Dropped pin,"Residents Corner
State provided
Demarcated by Low Walls and fences
12 four seater tables
8 two seater benches
Cameras present
Vending machines present
Near resident zone office","https://www.google.com/maps/search/1.3287076,103.9290812",
