Location ID,Name,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks
Dropped pin,"People generated space
First floor units
Seating provided two benches
Leading to garden 
No demarcation
Relatively organised
No cameras
Relatively clean ",People-generated,Outdoor,,,,,,,,1.3765536,103.8885725,
Dropped pin,"Garden stretch 
People generated
First floor units
Ornaments religious present
No demarcation 
No cameras
No seating",People-generated,Garden,,,,,,,,1.3765663,103.888138,
Dropped pin,"People generated garden
First floor unit
No demarcation 
Relatively organised 
Clean
No camera
Small fence ",People-generated,Garden,,,,,,,,1.3754699,103.8880387,
Dropped pin,"Punggol Acacia senior citizen centre
State provided
Some people generation? 
Near community garden (state-provided)
Large
Demarcated (semi, some seating areas are outside Low Walls)
Multiple cameras 
Screens for surveillance
Tvs provided
Multiple plastic chairs and foldable tables present
Potted garden outside space
Cabinets present 
Chinese ornaments and decorations present
Freezer present
Notices as wel
Lighting and fans provided
Clean ",State-provided,Elderly Care,,,,,,,,1.3753875,103.8870795,
Dropped pin,"Elder citizen corner
State provided
4 four seater table
3 metal benches
Tv provided
Demarcated by Low Walls
Fans provided
Toilet provided
Camera present
Dirty
Near provision shops",State-provided,Elderly Care,,,,,,,,1.3754642,103.8859184,
Dropped pin,"Community garden stretch 
People generated 
Low blocks
Relatively disorganized
No demarcation 
Has some ornaments
Clean 
No camera
No seating
Near a playground (stone linkway)
Has shelving too
",People-generated,Garden,,,,,,,,1.376383,103.8850122,
Dropped pin,"Stretch of garden
People generated
No photo yet
Mostly direct units
Ornament present
Relatively disorganized
Has a few bird cages too 
No demarcation 
Clean ",People-generated,Outdoor,,,,,,,,1.376628,103.8866963,
Dropped pin,"Garden stretch 
People generated
Messy
No seating provided
No demarcation 
Probably nearest residents
No camera",People-generated,Garden,,,,,,,,1.3770104,103.8861397,
Dropped pin,"Community garden stretch 
People generated
No demarcation
No camera
Seating provided (2 seater bench)
Multiple plastic stools stacked
Relatively disorganized 
Clean",People-generated,Garden,,,,,,,,1.3770305,103.8859322,
Dropped pin,"Community garden
State-people
Demarcated by fence
Locked
Relatively organised
No cameras
Seating provided under tentage
Clean ",State-people,Garden,,,,,,,,1.3768958,103.885271,
Dropped pin,"Residents corner
State provided
Very empty space
Wall benches, in built separation
Seats 17
Has tv provision 
Has toilet
Demarcated by walls
Dull colours
No camera",State-provided,Resident's Corner,,,,,,,,1.376565,103.885204,
Dropped pin,"People generated
Small garden taken over by storage
Multiple dust bins and chairs are stored in the open
Clothes racks as well
Could indicate a space that is packed up ",People-generated,Garden,,,,,,,,1.3782747,103.8869642,
Dropped pin,"Residents corner
State provided
Demarcated by Low Walls
Have tv and fan provision
No camera
Smoking seems to be a common issue 
2 six seater tables (handle bars built as extensions)
1 four seater table
10 single seats (handle bars built as extensions)
Vending machine present
1 plastic chair
Low walls provide seating, with handle bars dividing it into portions
Homelessness may be an issue
Clean
",State-provided,Resident's Corner,,,,,,,,1.3782244,103.8875301,
Dropped pin,"Community garden
State-people
High fenced
Organised
Locked
Demarcated
Clean
",State-people,Garden,,,,,,,,1.3778534,103.889871,
537 Hougang Street 51,"Residents corner
State provided
2 five seater tables
2 four seater chess tables (no backrest)
15 wall seats
8 single seats tv provided
Toilet provided
Wall fans provided
Demarcated by Low Walls
Camera present
Vending machine present
Near community garden (state provided)
Organzied and clean",State-provided,Resident's Corner,,,,,,,,1.377967,103.889771,
Dropped pin,"Community garden
State-people
Relatively organised
Not as abundant as other gardens
Demarcated a d locked
Relatively clean
Slightly overgrown as compared to other gardens",State-people,Garden,,,,,,,,1.3794016,103.8898522,
Dropped pin,"Residents corner 555
State provided
2 five seater tables (concreted)
2 four seater chess tables (no backrest)
1 six seater metal table (found outside demarcated space)
8 single seats
Tv provided
Toilet provided 
Demarcated by Low wall
Fans provided
Camera present 
Clean ",State-provided,Resident's Corner,,,,,,,,1.3796027,103.8899257,
Dropped pin,"Residents corner 559
2 six seater table
Camera present
Demarcated by Low Walls
Has fan provision
Possibly tv provision
Clean
Has toilet",State-provided,Resident's Corner,,,,,,,,1.3800652,103.8893456,
559 Hougang Street 51,"Study corner
State-provided 
No fans
No electrical provision
24 single seats with tables
11 seats of wall benches
Demarcated by rails and Low Walls
Clean
Hard seat (fixed)",State-provided,Study Corner,,,,,,,,1.380046,103.889576,
Dropped pin,"People generated
Garden stretches
No demarcation 
Low blocks
Disorganized 
No cameras
Have swing seats
Kept relatively clean",People-generated,Garden,,,,,,,,1.3801963,103.89032,
Dropped pin,"Residents corner
State provided
3 five seater tables
2 four seater tables, no backrest
Hard seating
1 three seater wall bench
8 single seats
Demarcated by Low wall
Camera present
Tv provided
Toilet provided 
Multiple wall fans
Relatively clean and organised
No ornaments",State-provided,Resident's Corner,,,,,,,,1.3790017,103.8921147,
Dropped pin,"Large community garden
People generated space
Semi-organised
No demarcation 
No cameras
No seating
Very kampung ish vibe
No ornaments or seats",People-generated,Garden,,,,,,,,1.3775601,103.8921938,
