Title,Note,URL,Comment
Dropped pin,"Indoor senior citizen centre
State-provided
No picture since it is built enclosed ","https://www.google.com/maps/search/1.330659,103.9245282",
Dropped pin,"Residents corner
State provided
Demarcated by Low Walls 
10 tables with wall seats 
4 tables with benches (6 capacity) 
No cameras
All fixed ","https://www.google.com/maps/search/1.3300949,103.9241741",
Dropped pin,"Residents corner 
State-provided
No picture (unclear) 
Demarcated by Low Walls
Has seating and tables and toilets
Just went through defogging","https://www.google.com/maps/search/1.3335537,103.9244427",
Dropped pin,"Community garden
State-people
Demarcated by fence 
Relatively organzied
No camera
A bench and a few seats inside
Locked","https://www.google.com/maps/search/1.3347922,103.9155217",
Dropped pin,"Residents Corner
State-provided
Demarcated by signage and Low Walls
2 four seater tables
Wall benches
No camera
Near ATM","https://www.google.com/maps/search/1.3320102,103.9152682",
Dropped pin,"Senior Citizens Corner
State-provided
Demarcated by Low Walls and rails and signages
Toilet present
tV in cabinet (locked) 
2 four seater tables
3 benches for TV
Walls benches around space
Has a pebble rock path for exercise
No cameras","https://www.google.com/maps/search/1.3323554,103.9158231",
Dropped pin,"Senior Citizens Corner
State-people
Demarcated by Low Walls and grills
4 three seater tables 
1 four seater table
Wall benches 
Foldable chairs present (stacks)
Setup tables present as well
Toilets present 
Chinese ornaments and decorations including a mini altar
Locked cabinets
Clocks and fans provided
Near community garden that is fenced up 
Possible Tv kept in cabinet
Pantry area locked","https://www.google.com/maps/search/1.3317387,103.9134218",
Dropped pin,"Garden
People generated
No demarcation 
No camera
No seating
Relatively disorganized ","https://www.google.com/maps/search/1.3296893,103.9121729",
Dropped pin,"Residents corner 
State-provided section is relatively empty
People- set up tables outside of space 
Demarcated by Low Walls 
2 four seater chess tables
2 four seater tables 
1 four seater table (bench)
1 bench 
No camera
Foldable tables set up, mahjong tables kept aside
Chairs set up","https://www.google.com/maps/search/1.3334816,103.9129068",
Dropped pin,"Outdoor Garden
People-generated
No demarcation 
No seating
Relatively disorganized","https://www.google.com/maps/search/1.33336,103.9111064",
Dropped pin,"Senior citizens Corner
State-provided
Demarcated by Low Walls and signages
Toilets present
No camera
2 four seater table
Wall benches provided throughout
Has a mini stage","https://www.google.com/maps/search/1.3305538,103.9095728",
Dropped pin,"Outdoor garden
People generated
No demarcation 
Built along the paths
Relatively disorganized
No seats
No cameras ","https://www.google.com/maps/search/1.3297309,103.9100157",
Dropped pin,"Residents corner
State-provided
Demarcated by Low Walls
No signage
Tv locked in the cabinet
1 four seater table
1 eight seater table 
1 two seater bench 
No camera
Quite empty","https://www.google.com/maps/search/1.3294101,103.9099041",
Dropped pin,"Senior Citizens Corner
State-provided
Demarcated by Low Walls, rails and signages 
3 two seater tables 
14 two seater benches
Toilet provided
Pantry provided (no cooking)
Tv locked in cabinet
No cameras 
","https://www.google.com/maps/search/1.3320745,103.9050724",
Dropped pin,"Outdoor garden
People generated
No demarcation 
Alongside the path 
No cameras
No seating
Decorations on the plants 
First floor housing","https://www.google.com/maps/search/1.3322431,103.9084141",
Dropped pin,"Outdoor garden area
People generated 
No demarcation
Two sitting swings
First floor house
No cameras 
Relatively disorganized ","https://www.google.com/maps/search/1.3320072,103.9083333",
Dropped pin,"Senior citizens corner
State-provided
Demarcated by Low Walls and signage
2 six seater tables
2 two seater tables 
6 benches that sit two each 
TV may have been removed 
Toilet present
Locked room (no idea)
Fans provided
No camera ","https://www.google.com/maps/search/1.3320303,103.9091256",
Dropped pin,"Community garden
State-people
Demarcated by fence (one state provided, the other is DIY)
Relatively organized
No cameras 
No seating

","https://www.google.com/maps/search/1.3337005,103.9078375",
Dropped pin,"Garden
People-generated
Small
Relatively disorganized
No demarcation
No cameras
No seating
First floor housing","https://www.google.com/maps/search/1.3336281,103.9089455",
